Food_Item,Category,Sugar_Content (g),Calories (kcal),Protein (g),Fiber (g),Carbohydrates (g),Glycemic_Index,Ripeness,Size,Average_Weight (g),Fruit
Jackfruit,Fruit,10.8,99.9,0.6,3.2,16.0,47,Unripe,Medium,473.8,True
Potato,Vegetable,4.1,57.2,3.9,6.1,11.2,32,Ripe,Medium,594.3,False
Banana,Fruit,16.4,77.5,1.9,1.6,6.3,68,Ripe,Medium,460.5,True
Pomegranate,Fruit,10.8,32.1,0.6,2.7,17.0,64,Unripe,Small,298.8,True
Onion,Vegetable,2.4,46.8,3.1,2.9,6.6,22,Unripe,Medium,191.9,False
Tomato,Vegetable,2.3,33.9,2.2,1.2,7.1,46,Ripe,Large,745.6,False
Bottle Gourd,Vegetable,3.4,33.1,1.7,1.4,8.8,24,Unripe,Medium,349.9,False
Colocasia,Vegetable,2.4,32.4,4.0,5.4,6.4,44,Overripe,Small,1171.9,False
Watermelon,Fruit,4.1,67.9,0.8,4.8,15.5,86,Ripe,Small,480.6,True
Coriander Leaves,Vegetable,1.4,31.9,1.3,2.1,7.2,55,Ripe,Small,920.9,False
Guava,Fruit,7.2,38.4,0.5,4.1,11.8,70,Unripe,Medium,113.3,True
Sapodilla,Fruit,15.5,95.6,2.0,1.9,15.0,56,Unripe,Medium,123.5,True
Lychee,Fruit,7.7,50.1,0.6,2.2,15.5,56,Ripe,Large,486.4,True
Green Chili,Vegetable,0.7,48.7,4.8,6.6,15.0,53,Unripe,Large,746.8,False
Pomegranate,Fruit,18.4,61.8,1.7,3.3,23.6,57,Overripe,Small,311.0,True
Bitter Gourd,Vegetable,3.1,60.0,3.9,1.1,13.2,54,Unripe,Small,1218.9,False
Bitter Gourd,Vegetable,2.8,57.3,4.4,3.9,10.1,20,Ripe,Small,275.2,False
Fig,Fruit,19.3,56.6,0.6,1.5,14.1,87,Unripe,Medium,213.3,True
Bottle Gourd,Vegetable,1.6,22.0,3.6,2.5,10.9,37,Ripe,Medium,586.4,False
Pomegranate,Fruit,2.4,80.7,1.1,1.2,8.7,87,Unripe,Large,474.3,True
Apple,Fruit,10.2,74.9,2.7,2.6,21.0,90,Overripe,Medium,222.2,True
Orange,Fruit,16.3,68.8,3.0,2.0,19.6,50,Overripe,Large,458.8,True
Apple,Fruit,0.9,88.5,1.2,4.0,10.6,70,Overripe,Medium,400.8,True
Radish,Vegetable,2.1,66.2,4.0,4.0,3.7,21,Unripe,Small,1097.3,False
Orange,Fruit,11.0,91.3,2.5,2.8,6.9,47,Ripe,Medium,211.6,True
Colocasia,Vegetable,4.0,51.4,2.0,4.5,4.0,30,Unripe,Small,310.0,False
Watermelon,Fruit,7.4,50.0,2.2,1.2,20.5,52,Ripe,Small,461.3,True
Fenugreek,Vegetable,2.9,45.2,2.8,1.5,3.6,23,Unripe,Medium,606.7,False
Colocasia,Vegetable,0.3,64.5,1.7,3.5,4.6,59,Unripe,Small,384.4,False
Brinjal,Vegetable,1.9,59.0,3.1,4.4,4.3,31,Overripe,Small,502.4,False
Fenugreek,Vegetable,2.5,30.1,3.2,6.9,10.9,26,Unripe,Small,142.0,False
Turnip,Vegetable,3.5,34.2,2.3,3.0,3.7,56,Overripe,Small,373.9,False
Bitter Gourd,Vegetable,0.5,52.7,3.6,3.1,11.6,27,Ripe,Medium,1354.1,False
French Beans,Vegetable,4.3,64.7,1.9,1.8,4.0,31,Unripe,Large,860.5,False
Dragon Fruit,Fruit,4.4,33.2,2.7,0.9,15.8,70,Ripe,Large,333.6,True
Papaya,Fruit,11.9,95.4,3.0,1.9,14.8,81,Ripe,Medium,182.3,True
Bitter Gourd,Vegetable,4.0,50.7,2.7,3.3,3.2,37,Unripe,Small,167.3,False
Tomato,Vegetable,0.5,36.9,4.7,1.8,7.2,49,Ripe,Medium,362.1,False
Potato,Vegetable,2.6,27.2,4.1,7.6,13.1,45,Overripe,Medium,158.6,False
Carrot,Vegetable,2.1,38.2,4.2,1.7,10.4,57,Overripe,Medium,892.1,False
Fig,Fruit,5.6,76.3,1.4,4.2,16.6,51,Ripe,Small,369.2,True
Avocado,Fruit,10.0,47.1,1.6,2.3,21.6,52,Overripe,Large,336.5,True
Tamarind,Fruit,6.4,83.6,0.9,1.4,12.4,73,Unripe,Medium,207.8,True
French Beans,Vegetable,5.0,37.5,4.7,2.4,13.4,32,Overripe,Medium,248.8,False
Colocasia,Vegetable,3.1,69.2,2.3,3.8,14.3,53,Unripe,Medium,640.0,False
Orange,Fruit,16.5,68.8,1.6,4.1,12.8,69,Ripe,Small,235.1,True
Radish,Vegetable,0.4,30.0,2.2,6.5,4.8,51,Overripe,Small,428.1,False
Orange,Fruit,18.1,96.3,1.9,5.0,6.3,79,Overripe,Medium,320.4,True
Sweet Lime,Fruit,6.6,46.1,0.7,4.2,20.0,86,Unripe,Small,69.0,True
French Beans,Vegetable,3.8,45.2,3.5,3.0,11.6,44,Unripe,Medium,1097.2,False
Sweet Lime,Fruit,6.8,50.0,0.8,1.7,6.7,76,Unripe,Small,142.8,True
Sweet Lime,Fruit,16.9,68.9,1.1,1.5,12.4,52,Overripe,Medium,422.5,True
Ginger,Vegetable,4.5,26.3,1.9,5.3,3.9,26,Unripe,Large,356.0,False
